stationName,stationUrl,stationLatitude,stationLongitude,tags,Station_x,Afgange_x,Station_y,Afgange_y
Albertslund,http://www.dsb.dk/kundeservice/stationer/albertslund/,55.658108,12.353142,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Albertslund,9.0,Albertslund,9.0
Alken,http://www.dsb.dk/kundeservice/stationer/alken/,56.0523918,9.8457079,[],Alken,2.0,Alken,2.0
Allerød,http://www.dsb.dk/kundeservice/stationer/allerod/,55.8706131,12.3568097,['Aflåst cykelparkering'],Allerød,9.0,Allerød,9.0
Arden,http://www.dsb.dk/kundeservice/stationer/arden/,56.769733,9.859934,[],Arden,2.0,Arden,2.0
Asnæs,http://www.dsb.dk/kundeservice/stationer/asnas/,55.8099266,11.5032869,[],Asnæs,2.0,Asnæs,2.0
Aulum,http://www.dsb.dk/kundeservice/stationer/aulum/,56.265253,8.788423,[],Aulum,3.0,Aulum,3.0
Avedøre,http://www.dsb.dk/kundeservice/stationer/avedore/,55.625400,12.454097,[],Avedøre,10.0,Avedøre,10.0
Bagsværd,http://www.dsb.dk/kundeservice/stationer/bagsvard/,55.7612225,12.4541519,[],Bagsværd,9.0,Bagsværd,9.0
Ballerup,http://www.dsb.dk/kundeservice/stationer/ballerup/,55.7296350,12.3589260,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Ballerup,12.0,Ballerup,12.0
Bedsted Thy,http://www.dsb.dk/kundeservice/stationer/bedsted-thy/,56.806831,8.405832,[],Bedsted Thy,2.0,Bedsted Thy,2.0
Bernstorffsvej,http://www.dsb.dk/kundeservice/stationer/bernstorffsvej/,55.743001,12.557527,[],Bernstorffsvej,10.0,Bernstorffsvej,10.0
Birk Centerpark,http://www.dsb.dk/kundeservice/stationer/birk-centerpark/,56.1292882,9.0293258,[],Birk Centerpark,2.0,Birk Centerpark,2.0
Birkerød,http://www.dsb.dk/kundeservice/stationer/birkerod/,55.840636,12.423690,[],Birkerød,10.0,Birkerød,10.0
Bispebjerg,http://www.dsb.dk/kundeservice/stationer/bispebjerg/,55.7112395,12.5370691,[],Bispebjerg,19.0,Bispebjerg,19.0
Bjerringbro,http://www.dsb.dk/kundeservice/stationer/bjerringbro/,56.374731,9.658391,[],Bjerringbro,4.0,Bjerringbro,4.0
Bording,http://www.dsb.dk/kundeservice/stationer/bording/,56.147004,9.278974,[],Bording,1.0,Bording,1.0
Borris,http://www.dsb.dk/kundeservice/stationer/borris/,55.958293,8.647713,[],Borris,0.0,Borris,0.0
Borup,http://www.dsb.dk/kundeservice/stationer/borup-station/,55.494698,11.972512,[],Borup,4.0,Borup,4.0
Bramming,http://www.dsb.dk/kundeservice/stationer/bramming/,55.4646307,8.7046069,"['Aflåst cykelparkering', 'Stationsstuer']",Bramming,5.0,Bramming,5.0
Brande,http://www.dsb.dk/kundeservice/stationer/brande/,55.944565,9.129686,['Aflåst cykelparkering'],Brande,2.0,Brande,2.0
Bred,http://www.dsb.dk/kundeservice/stationer/bred/,55.373909,10.1045529,[],Bred,1.0,Bred,1.0
Bredebro,http://www.dsb.dk/kundeservice/stationer/bredebro/,55.0568898,8.8234114,[],Bredebro,2.0,Bredebro,2.0
Brejning,http://www.dsb.dk/kundeservice/stationer/brejning/,55.6662378,9.6605138,[],Brejning,2.0,Brejning,2.0
Brøndby Strand,http://www.dsb.dk/kundeservice/stationer/brondby-strand/,55.621179,12.422535,[],Brøndby Strand,9.0,Brøndby Strand,9.0
Brøndbyøster,http://www.dsb.dk/kundeservice/stationer/brondbyoster/,55.6646254,12.4391005,['Aflåst cykelparkering'],Brøndbyøster,9.0,Brøndbyøster,9.0
Brønderslev,http://www.dsb.dk/kundeservice/stationer/bronderslev/,57.2702909,9.9437398,['Aflåst cykelparkering'],Brønderslev,4.0,Brønderslev,4.0
Brøns,http://www.dsb.dk/kundeservice/stationer/brons/,55.1944974,8.7409104,[],Brøns,2.0,Brøns,2.0
Brørup,http://www.dsb.dk/kundeservice/stationer/brorup/,55.4845615,9.0185437,[],Brørup,2.0,Brørup,2.0
Buddinge,http://www.dsb.dk/kundeservice/stationer/buddinge/,55.747147,12.494284,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Buddinge,10.0,Buddinge,10.0
Bur,http://www.dsb.dk/kundeservice/stationer/bur/,56.367486,8.427206,[],Bur,1.0,Bur,1.0
Børkop,http://www.dsb.dk/kundeservice/stationer/borkop/,55.642006,9.65181,[],Børkop,2.0,Børkop,2.0
Carlsberg,http://www.dsb.dk/kundeservice/stationer/carlsberg/,55.663399,12.536876,[],Carlsberg,20.0,Carlsberg,20.0
Charlottenlund,http://www.dsb.dk/kundeservice/stationer/charlottenlund/,55.7517533,12.5720023,['Aflåst cykelparkering'],Charlottenlund,10.0,Charlottenlund,10.0
Danshøj,http://www.dsb.dk/kundeservice/stationer/danshoj/,55.6616585,12.5167753,[],Danshøj,21.0,Danshøj,21.0
Dianalund,http://www.dsb.dk/kundeservice/stationer/dianalund/,55.5334784,11.4952398,[],Dianalund,2.0,Dianalund,2.0
Dybbølsbro,http://www.dsb.dk/kundeservice/stationer/dybbolsbro/,55.6645998,12.5529313,['DSB 7-Eleven'],Dybbølsbro,23.0,Dybbølsbro,23.0
Dyssegård,http://www.dsb.dk/kundeservice/stationer/dyssegard/,55.7319085,12.5361953,[],Dyssegård,9.0,Dyssegård,9.0
Døstrup Sønderjylland,http://www.dsb.dk/kundeservice/stationer/dostrup-sonderjylland/,55.1169164,8.8039019,[],Døstrup Sønderjylland,2.0,Døstrup Sønderjylland,2.0
Egedal,http://www.dsb.dk/kundeservice/stationer/egedal/,55.781717,12.1837936,['Aflåst cykelparkering'],Egedal,9.0,Egedal,9.0
Ejby,http://www.dsb.dk/kundeservice/stationer/ejby/,55.4258007,9.9322647,[],Ejby,2.0,Ejby,2.0
Emdrup,http://www.dsb.dk/kundeservice/stationer/emdrup/,55.719809,12.541461,[],Emdrup,9.0,Emdrup,9.0
Engesvang,http://www.dsb.dk/kundeservice/stationer/engesvang/,56.168354,9.35232,[],Engesvang,0.0,Engesvang,0.0
Esbjerg,http://www.dsb.dk/kundeservice/stationer/esbjerg/,55.468192,8.458251,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Esbjerg,5.0,Esbjerg,5.0
Eskilstrup,http://www.dsb.dk/kundeservice/stationer/eskilstrup/,54.8542177,11.8852608,[],Eskilstrup,2.0,Eskilstrup,2.0
Espergærde,http://www.dsb.dk/kundeservice/stationer/espergarde/,55.995292,12.549184,['Aflåst cykelparkering'],Espergærde,6.0,Espergærde,6.0
Farum,http://www.dsb.dk/kundeservice/stationer/farum/,55.8120599,12.373299,['DSB 7-Eleven'],Farum,5.0,Farum,5.0
Favrholm,http://www.dsb.dk/kundeservice/stationer/Favrholm/,55.910257969053134,12.315230809298795,['Aflåst cykelparkering'],Favrholm,10.0,Favrholm,10.0
Faxe Ladeplads,http://www.dsb.dk/kundeservice/stationer/fakse-ladeplads/,55.217099,12.162009,[],Faxe Ladeplads,2.0,Faxe Ladeplads,2.0
Flintholm,http://www.dsb.dk/kundeservice/stationer/flintholm/,55.685457,12.499963,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Flintholm,21.0,Flintholm,21.0
Fredensborg,http://www.dsb.dk/kundeservice/stationer/fredensborg/,55.977243,12.4069266,[],Fredensborg,2.0,Fredensborg,2.0
Fredericia,http://www.dsb.dk/kundeservice/stationer/fredericia/,55.568207,9.740439,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Fredericia,7.0,Fredericia,7.0
Frederiksberg,http://www.dsb.dk/kundeservice/stationer/frederiksberg/,55.681314,12.534194,[],,,,
Frederikshavn,http://www.dsb.dk/kundeservice/stationer/frederikshavn/,57.44108,10.539949,[],Frederikshavn,2.0,Frederikshavn,2.0
Frederikssund,http://www.dsb.dk/kundeservice/stationer/frederikssund/,55.835592,12.062436,['Aflåst cykelparkering'],Frederikssund,5.0,Frederikssund,5.0
Frederiksværk,http://www.dsb.dk/kundeservice/stationer/frederiksvark/,55.968622,12.0195083,[],Frederiksværk,5.0,Frederiksværk,5.0
Friheden,http://www.dsb.dk/kundeservice/stationer/friheden/,55.628890,12.482343,['DSB 7-Eleven'],Friheden,9.0,Friheden,9.0
Fruens Bøge,http://www.dsb.dk/kundeservice/stationer/fruens-boge/,55.369755,10.377829,['Aflåst cykelparkering'],Fruens Bøge,4.0,Fruens Bøge,4.0
Fuglebakken,http://www.dsb.dk/kundeservice/stationer/fuglebakken/,55.695296,12.527477,[],Fuglebakken,19.0,Fuglebakken,19.0
Faaborg Rutebilstation,http://www.dsb.dk/kundeservice/stationer/faaborg/,55.093777,10.245588,[],,,,
Gadstrup,http://www.dsb.dk/kundeservice/stationer/gadstrup/,55.5728106,12.099506,[],Gadstrup,4.0,Gadstrup,4.0
Gelsted,http://www.dsb.dk/kundeservice/stationer/gelsted/,55.396069,9.974166,[],Gelsted,2.0,Gelsted,2.0
Gentofte,http://www.dsb.dk/kundeservice/stationer/gentofte/,55.7534336,12.5412786,[],Gentofte,10.0,Gentofte,10.0
Gilleleje,http://www.dsb.dk/kundeservice/stationer/gilleleje/,56.1236839,12.3034607,[],Gilleleje,2.0,Gilleleje,2.0
Give,http://www.dsb.dk/kundeservice/stationer/give/,55.843168,9.2360368,[],Give,0.0,Give,0.0
Gjesing,http://www.dsb.dk/kundeservice/stationer/gjesing/,55.5100982,8.4571333,[],Gjesing,4.0,Gjesing,4.0
Glostrup,http://www.dsb.dk/kundeservice/stationer/glostrup/,55.663282,12.398726,['DSB 7-Eleven'],Glostrup,9.0,Glostrup,9.0
Glumsø,http://www.dsb.dk/kundeservice/stationer/glumso/,55.353533,11.695318,[],Glumsø,2.0,Glumsø,2.0
Gredstedbro,http://www.dsb.dk/kundeservice/stationer/gredstedbro/,55.398888,8.741082,[],Gredstedbro,2.0,Gredstedbro,2.0
Greve,http://www.dsb.dk/kundeservice/stationer/greve/,55.5815632,12.295749,[],Greve,10.0,Greve,10.0
Grøndal,http://www.dsb.dk/kundeservice/stationer/grondal/,55.690684,12.515871,[],Grøndal,20.0,Grøndal,20.0
Gråsten,http://www.dsb.dk/kundeservice/stationer/grasten/,54.918944,9.593766,[],Gråsten,3.0,Gråsten,3.0
Guldager,http://www.dsb.dk/kundeservice/stationer/guldager/,55.5415671,8.4284722,[],Guldager,3.0,Guldager,3.0
Gødstrup,http://www.dsb.dk/kundeservice/stationer/godstrup-station/,56.156354,8.896709,[],Gødstrup,3.0,Gødstrup,3.0
Gørding,http://www.dsb.dk/kundeservice/stationer/gording/,55.4698356,8.8020242,[],Gørding,2.0,Gørding,2.0
Gårde,http://www.dsb.dk/kundeservice/stationer/garde/,55.765009,8.611287,[],Gårde,3.0,Gårde,3.0
Hadsten,http://www.dsb.dk/kundeservice/stationer/hadsten/,56.3276035,10.0471631,[],Hadsten,4.0,Hadsten,4.0
Hammerum,http://www.dsb.dk/kundeservice/stationer/hammerum/,56.1323707,9.0635063,[],Hammerum,2.0,Hammerum,2.0
Hareskov,http://www.dsb.dk/kundeservice/stationer/hareskov/,55.7660192,12.4059077,[],Hareskov,8.0,Hareskov,8.0
Haslev,http://www.dsb.dk/kundeservice/stationer/haslev/,55.3294171,11.9611733,"['Aflåst cykelparkering', 'Stationsstuer']",Haslev,2.0,Haslev,2.0
Havdrup ,http://www.dsb.dk/kundeservice/stationer/havdrup/,55.543455,12.116982,[],,,,
Hedehusene,http://www.dsb.dk/kundeservice/stationer/hedehusene/,55.6489,12.197485,[],Hedehusene,6.0,Hedehusene,6.0
Hedensted,http://www.dsb.dk/kundeservice/stationer/hedensted/,55.7683722,9.6986164,[],Hedensted,1.0,Hedensted,1.0
Hee,http://www.dsb.dk/kundeservice/stationer/hee/,56.1436091,8.2862808,[],Hee,4.0,Hee,4.0
Hellerup,http://www.dsb.dk/kundeservice/stationer/hellerup/,55.7311155,12.5680862,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Hellerup,6.0,Hellerup,6.0
Helsinge,http://www.dsb.dk/kundeservice/stationer/helsinge/,56.023029,12.205112,[],Helsinge,2.0,Helsinge,2.0
Helsingør,http://www.dsb.dk/kundeservice/stationer/helsingor/,56.033549,12.614496,['DSB 7-Eleven'],Helsingør,4.0,Helsingør,4.0
Herfølge,http://www.dsb.dk/kundeservice/stationer/herfolge/,55.4176264,12.1372593,['Aflåst cykelparkering'],Herfølge,2.0,Herfølge,2.0
Herlev,http://www.dsb.dk/kundeservice/stationer/herlev/,55.7189020,12.4438120,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Herlev,14.0,Herlev,14.0
Herning Messecenter,http://www.dsb.dk/kundeservice/stationer/herning-messecenter/,"555643,908","6322569,366",[],Herning Messecenter,3.0,Herning Messecenter,3.0
Herning,http://www.dsb.dk/kundeservice/stationer/herning/,56.1332194,8.9779755,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Herning,4.0,Herning,4.0
Hillerød,http://www.dsb.dk/kundeservice/stationer/hillerod/,55.927123,12.3105534,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Hillerød,5.0,Hillerød,5.0
Hinnerup,http://www.dsb.dk/kundeservice/stationer/hinnerup/,56.263705,10.0592729,[],Hinnerup,2.0,Hinnerup,2.0
Hjallese,http://www.dsb.dk/kundeservice/stationer/hjallese/,55.3582225,10.3925432,[],Hjallese,3.0,Hjallese,3.0
Hjerm,http://www.dsb.dk/kundeservice/stationer/hjerm/,56.4383098,8.6402282,[],Hjerm,4.0,Hjerm,4.0
Hjørring,http://www.dsb.dk/kundeservice/stationer/hjorring/,57.4570501,9.9869405,[],Hjørring,2.0,Hjørring,2.0
Hjørring Øst,http://www.dsb.dk/kundeservice/stationer/hjorring-ost-station/,57.454827,10.006035,[],Hjørring Øst,3.0,Hjørring Øst,3.0
Hobro,http://www.dsb.dk/kundeservice/stationer/hobro/,56.6434139,9.7829402,['Aflåst cykelparkering'],Hobro,3.0,Hobro,3.0
Holbæk,http://www.dsb.dk/kundeservice/stationer/holbak/,55.715806,11.708332,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Holbæk,2.0,Holbæk,2.0
Holme-Olstrup,http://www.dsb.dk/kundeservice/stationer/holme-olstrup/,55.2598958,11.8553247,[],Holme-Olstrup,4.0,Holme-Olstrup,4.0
Holmstrup,http://www.dsb.dk/kundeservice/stationer/holmstrup/,55.362961,10.275328,[],Holmstrup,1.0,Holmstrup,1.0
Holstebro,http://www.dsb.dk/kundeservice/stationer/holstebro/,56.365327,8.620803,"['Aflåst cykelparkering', 'Stationsstuer']",Holstebro,4.0,Holstebro,4.0
Holsted,http://www.dsb.dk/kundeservice/stationer/holsted/,55.4819582,8.9112624,[],Holsted,2.0,Holsted,2.0
Holte,http://www.dsb.dk/kundeservice/stationer/holte/,55.8076658,12.4687732,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Holte,14.0,Holte,14.0
Horsens,http://www.dsb.dk/kundeservice/stationer/horsens/,55.86366,9.8359917,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Horsens,4.0,Horsens,4.0
Humlebæk,http://www.dsb.dk/kundeservice/stationer/humlebak/,55.963692,12.533384,['Aflåst cykelparkering'],Humlebæk,6.0,Humlebæk,6.0
Humlum,http://www.dsb.dk/kundeservice/stationer/humlum/,56.540272,8.551149,[],Humlum,4.0,Humlum,4.0
Hundige,http://www.dsb.dk/kundeservice/stationer/hundige/,55.5977436,12.3323151,['Aflåst cykelparkering'],Hundige,14.0,Hundige,14.0
Hurup Thy,http://www.dsb.dk/kundeservice/stationer/hurup-thy/,56.751241,8.417765,[],Hurup Thy,2.0,Hurup Thy,2.0
Husum,http://www.dsb.dk/kundeservice/stationer/husum/,55.7071732,12.4915226,[],Husum,13.0,Husum,13.0
Hvalsø,http://www.dsb.dk/kundeservice/stationer/hvalso/,55.5954797,11.8598818,[],Hvalsø,2.0,Hvalsø,2.0
Hvidbjerg,http://www.dsb.dk/kundeservice/stationer/hvidbjerg/,56.6500067,8.5263903,[],Hvidbjerg,2.0,Hvidbjerg,2.0
Hviding,http://www.dsb.dk/kundeservice/stationer/hviding/,55.2832,8.726482,[],Hviding,2.0,Hviding,2.0
Hvidovre,http://www.dsb.dk/kundeservice/stationer/hvidovre/,55.664521,12.472896,[],Hvidovre,9.0,Hvidovre,9.0
Højby (Fyn),http://www.dsb.dk/kundeservice/stationer/hojby-fyn-station/,55.33019639781542,10.434292521794651,[],Højby (Fyn),1.0,Højby (Fyn),1.0
Højby Sjælland,http://www.dsb.dk/kundeservice/stationer/hojby-sjalland/,55.9109599,11.6039889,[],,,,
Høje Taastrup,http://www.dsb.dk/kundeservice/stationer/hoje-taastrup/,55.6483771,12.269294,['DSB 7-Eleven'],Høje Taastrup,12.0,Høje Taastrup,12.0
Højslev,http://www.dsb.dk/kundeservice/stationer/hojslev/,56.5378176,9.1010286,[],Højslev,0.0,Højslev,0.0
Høng,http://www.dsb.dk/kundeservice/stationer/hong/,55.5068929,11.2860834,[],Høng,2.0,Høng,2.0
Hørdum,http://www.dsb.dk/kundeservice/stationer/hordum/,56.84944,8.492797,[],Hørdum,2.0,Hørdum,2.0
Hørning,http://www.dsb.dk/kundeservice/stationer/horning/,56.0818079,10.0383594,[],Hørning,1.0,Hørning,1.0
Hårlev,http://www.dsb.dk/kundeservice/stationer/harlev/,55.350258,12.226743,[],Hårlev,3.0,Hårlev,3.0
Ikast,http://www.dsb.dk/kundeservice/stationer/ikast/,56.1442171,9.1595924,[],Ikast,3.0,Ikast,3.0
Ishøj,http://www.dsb.dk/kundeservice/stationer/ishoj/,55.613972,12.34637,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Ishøj,20.0,Ishøj,20.0
Islev,http://www.dsb.dk/kundeservice/stationer/islev/,55.699441,12.469165,['Aflåst cykelparkering'],Islev,4.0,Islev,4.0
Jelling,http://www.dsb.dk/kundeservice/stationer/jelling/,55.754186,9.420085,[],Jelling,2.0,Jelling,2.0
Jerne,http://www.dsb.dk/kundeservice/stationer/jerne-station/,55.47454222349097,8.48583062698492,[],Jerne,3.0,Jerne,3.0
Jersie,http://www.dsb.dk/kundeservice/stationer/jersie/,55.52071907659139,12.208628626780635,['Aflåst cykelparkering'],Jersie,8.0,Jersie,8.0
Jyderup,http://www.dsb.dk/kundeservice/stationer/jyderup/,55.6601646,11.3981643,['Aflåst cykelparkering'],Jyderup,2.0,Jyderup,2.0
Jyllingevej,http://www.dsb.dk/kundeservice/stationer/jyllingevej/,55.690576,12.477420,['Aflåst cykelparkering'],Jyllingevej,4.0,Jyllingevej,4.0
Jægersborg,http://www.dsb.dk/kundeservice/stationer/jagersborg/,55.761621,12.521561,[],Jægersborg,9.0,Jægersborg,9.0
Kalundborg,http://www.dsb.dk/kundeservice/stationer/kalundborg/,55.6777263,11.0888449,['Aflåst cykelparkering'],Kalundborg,1.0,Kalundborg,1.0
Kalundborg Øst,http://www.dsb.dk/kundeservice/stationer/kalundborg-ost-station/,55.6765781,11.118693,[],Kalundborg Øst,2.0,Kalundborg Øst,2.0
Karlslunde,http://www.dsb.dk/kundeservice/stationer/karlslunde/,55.56631443959039,12.268786724462743,['Aflåst cykelparkering'],Karlslunde,10.0,Karlslunde,10.0
Kauslunde,http://www.dsb.dk/kundeservice/stationer/kauslunde/,55.497204,9.747172,[],Kauslunde,2.0,Kauslunde,2.0
KB Hallen,http://www.dsb.dk/kundeservice/stationer/kb-hallen/,55.677879,12.492953,[],KB Hallen,18.0,KB Hallen,18.0
Kerteminde,http://www.dsb.dk/kundeservice/stationer/kerteminde/,55.4507277,10.6591745,[],,,,
Kibæk,http://www.dsb.dk/kundeservice/stationer/kibak/,56.0324693,8.8521553,[],Kibæk,2.0,Kibæk,2.0
Kildebakke,http://www.dsb.dk/kundeservice/stationer/kildebakke/,55.744263,12.5054453,[],Kildebakke,10.0,Kildebakke,10.0
Kildedal,http://www.dsb.dk/kundeservice/stationer/kildedal/,55.768616,12.19831,[],Kildedal,4.0,Kildedal,4.0
Klampenborg,http://www.dsb.dk/kundeservice/stationer/klampenborg/,55.777515,12.587365,[],Klampenborg,5.0,Klampenborg,5.0
Kliplev,http://www.dsb.dk/kundeservice/stationer/kliplev/,54.935225,9.398478,[],Kliplev,2.0,Kliplev,2.0
Knabstrup,http://www.dsb.dk/kundeservice/stationer/knabstrup/,55.664414,11.552356,[],Knabstrup,1.0,Knabstrup,1.0
Kokkedal,http://www.dsb.dk/kundeservice/stationer/kokkedal/,55.903521,12.501976,['DSB 7-Eleven'],Kokkedal,4.0,Kokkedal,4.0
Kolding,http://www.dsb.dk/kundeservice/stationer/kolding/,55.4908177,9.4810916,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Kolding,5.0,Kolding,5.0
Korsør,http://www.dsb.dk/kundeservice/stationer/korsor/,55.356847,11.135303,['Aflåst cykelparkering'],Korsør,2.0,Korsør,2.0
Kvissel,http://www.dsb.dk/kundeservice/stationer/kvissel/,57.470564,10.409108,[],Kvissel,2.0,Kvissel,2.0
Kværndrup,http://www.dsb.dk/kundeservice/stationer/kvarndrup/,55.177823,10.519303,[],Kværndrup,1.0,Kværndrup,1.0
København H,http://www.dsb.dk/kundeservice/stationer/kobenhavn-h/,55.673535,12.564968,"['DSB Salg & Service', 'DSB 7-Eleven', 'Salg af udlandsbilletter']",København H,16.0,København H,16.0
København Syd,http://www.dsb.dk/kundeservice/stationer/ny-ellebjerg/,55.6616585,12.5167753,[],København Syd,2.0,København Syd,2.0
CPH Lufthavn ✈︎,http://www.dsb.dk/kundeservice/stationer/kobenhavns-lufthavn-kastrup/,55.6297067,12.6445148,['Servicecenter'],CPH Lufthavn ✈︎,7.0,CPH Lufthavn ✈︎,7.0
Køge Nord,http://www.dsb.dk/kundeservice/stationer/koge-nord/,55.4990911,12.1733631,[],Køge Nord,3.0,Køge Nord,3.0
Køge,http://www.dsb.dk/kundeservice/stationer/koge/,55.458193,12.186403,['DSB 7-Eleven'],Køge,6.0,Køge,6.0
Langeskov,http://www.dsb.dk/kundeservice/stationer/langeskov/,55.361017,10.592987,[],Langeskov,1.0,Langeskov,1.0
Langgade,http://www.dsb.dk/kundeservice/stationer/langgade/,55.6616585,12.5167753,[],Langgade,6.0,Langgade,6.0
Langå,http://www.dsb.dk/kundeservice/stationer/langa/,56.386539,9.896355,[],Langå,3.0,Langå,3.0
Laven,http://www.dsb.dk/kundeservice/stationer/laven/,56.125564,9.717392,[],Laven,2.0,Laven,2.0
Lejre,http://www.dsb.dk/kundeservice/stationer/lejre/,55.604654,11.9713967,[],Lejre,2.0,Lejre,2.0
